title,author,price,price (including used books),pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher
Hands-On Exploratory Data Analysis with R: Become an expert in exploratory data analysis using R packages,Radhika Datar and Harish Garg,30.99, 29.44 - 30.99 ,266,3.4,7,22,35,21,22,0,682.1,0.4626642174,English,"Packt Publishing (May 31, 2019)"
Mathematical Foundations for Data Analysis (Springer Series in the Data Sciences),Not Provided,59.91, 54.59 - 59.91 ,304,0,0,0,0,0,0,0,961.2,0.6849244787000001,English,"Springer; 1st ed. 2021 edition (March 30, 2021)"
Qualitative and Mixed Methods Data Analysis Using Dedoose: A Practical Approach for Research Across the Social Sciences,"Michelle Suzanne Salmona, Eli Lieber, et al.",48.99, 39.07 - 48.99 ,280,4.3,19,64,16,12,7,0,706.7,0.4717360648,English,"SAGE Publications, Inc; 1st edition (September 21, 2019)"
Qualitative Data Analysis with NVivo,Kristi Jackson and Pat Bazeley,47.85, 44.95 - 47.85 ,376,4.6,110,77,14,5,1,2,888.1,0.6304933943,English,"SAGE Publications Ltd; Third edition (May 31, 2019)"
"An Introduction to Categorical Data Analysis, 3rd Edition (Wiley Series in Probability and Statistics)",Agresti,92.83, 38.94 - 92.83 ,394,4.4,48,64,19,12,5,0,1310.8,0.7030681735000001,English,"Wiley; 3rd edition (November 5, 2018)"
"Big Data Analytics in Earth, Atmospheric and Ocean Sciences (Special Publications)",Not Provided,161.06, 157.39 - 161.06 ,352,0,0,0,0,0,0,0,1010.7,0.5216312255,English,"American Geophysical Union; 1st edition (November 8, 2022)"
"Pharmacokinetic and Pharmacodynamic Data Analysis: Concepts and Applications, Second Edition",Johan Gabrielsson and Daniel Weiner,233.6, 105.63 - 233.60 ,1040,4.4,14,80,6,6,8,0,2171.0,2.0184860465,English,"Swedish Pharmaceutical Press; 5th edition (January 26, 2017)"
Introduction to Environmental Data Science (Chapman & Hall/CRC Data Science Series),Not Provided,99.95,99.95,399,0,0,0,0,0,0,0,,0.7892507238,English,"Chapman and Hall/CRC; 1st edition (March 2, 2023)"
"SQL Practice Problems: 57 beginning, intermediate, and advanced challenges for you to solve using a “learn-by-doing” approach",Sylvia Moestl Vasilik,27.49, 15.19 - 27.49 ,125,4.4,493,69,17,5,3,6,363.8,0.272155392,English,"Independently published (March 13, 2017)"
Essential R For Data Analysis: Data manipulation and visualization using R for beginning and intermediate users,PBR Books,0,0,146,4.6,3,63,37,0,0,0,,,English,Not Provided
R in Action: Data Analysis and Graphics with R,Dr. Rob Kabacoff,51.0, 15.00 - 51.00 ,608,4.6,254,77,13,5,2,3,1454.3,0.8981128926,English,"Manning; 2nd edition (June 6, 2015)"
Black Feminism in Qualitative Inquiry: A Mosaic for Writing Our Daughter's Body (Futures of Data Analysis in Qualitative Research),Not Provided,38.81,38.81,146,4.9,51,90,7,3,0,0,333.6,0.22679616,English,"Routledge; 1st edition (February 7, 2019)"
Everyday Adventures with Unruly Data,Melanie Feinberg,35.0,35,336,0,0,0,0,0,0,0,752.2,0.408233088,English,"The MIT Press (October 11, 2022)"
Machine Learning: A First Course for Engineers and Scientists,"Andreas Lindholm, Niklas Wahlström, et al.",69.99,69.99,350,5.0,4,100,0,0,0,0,967.9,0.8799691978,English,"Cambridge University Press; New edition (June 2, 2022)"
Python Data Analysis - Second Edition,Armando Fandango,51.99,51.99,330,3.9,9,44,19,20,16,0,852.6,0.5669904625000001,English,"Packt Publishing; 2nd Revised edition (March 27, 2017)"
Exploratory Data Analysis with MATLAB (Chapman & Hall/CRC Computer Science & Data Analysis),Not Provided,41.49, 16.26 - 41.49 ,832,4.0,3,34,33,33,0,0,,,English,"Chapman and Hall/CRC; 3rd edition (August 7, 2017)"
Malware Data Science: Attack Detection and Attribution,Joshua Saxe and Hillary Sanders,44.83, 26.17 - 44.83 ,272,4.6,93,73,17,8,1,1,736.9,0.6214215469000001,English,"No Starch Press (September 25, 2018)"
